"ID","Area","Feature","User story","Expected behavior based on code","Code evidence","Feature status","Test status","Errors documented","Fix status","Retest status","Notes"
"F001","Onboarding","First launch permission education","As a new user I want a clear explanation before system permission prompts so I understand why the app asks for sensitive access.","First-time launch enters permission explanation before requesting permissions; the screen lists categorized permissions using resource-backed descriptions and continues into permission requests.","MainActivity.kt; PermissionExplanationScreen.kt; PermissionManager.kt; strings.xml","Documented","Static code inspection","None found in static inspection.","Not needed","Not run","Device/emulator validation required."
"F002","Onboarding","Runtime permission request flow","As a user I want Bluetooth, location, optional notification, and conditionally Wi-Fi Aware permissions requested only as needed so setup can complete without manual restart.","OnboardingCoordinator requests missing required permissions plus optional notification permission, checks critical required grants, routes to background location, completion, partial-warning completion, or error. Microphone is not part of onboarding.","MainActivity.kt; OnboardingCoordinator.kt; PermissionManager.kt","Documented","Static code inspection","None found in static inspection.","Not needed","Not run","Needs Android API matrix testing."
"F003","Onboarding","Bluetooth status check","As a user I want the app to detect disabled or unsupported Bluetooth and guide me to enable it so mesh chat can work.","Existing users are checked before app initialization unless BLE is disabled in debug settings; disabled or unsupported Bluetooth shows BluetoothCheckScreen; skip is session-scoped.","MainActivity.kt; BluetoothStatusManager.kt; BluetoothCheckScreen.kt; MainViewModel.kt","Documented","Static code inspection","None found in static inspection.","Not needed","Not run","Requires hardware or emulator capability checks."
"F004","Onboarding","Location services check","As a user I want the app to detect disabled or unavailable location services because Android BLE scanning depends on location state.","LocationCheckScreen appears when services are disabled or unavailable; enabled services allow onboarding to continue to battery optimization or permissions.","MainActivity.kt; LocationStatusManager.kt; LocationCheckScreen.kt","Documented","Static code inspection","None found in static inspection.","Not needed","Not run","Requires device settings manipulation."
"F005","Onboarding","Background location recommendation","As a user I want to decide whether to grant background location so mesh reliability can improve while I understand it is optional.","If Android version needs background location and it is not granted or skipped, the flow shows BackgroundLocationPermissionScreen with continue, retry, and skip paths.","MainActivity.kt; BackgroundLocationPermissionScreen.kt; BackgroundLocationPreferenceManager.kt; PermissionManager.kt","Documented","Static code inspection","None found in static inspection.","Not needed","Not run","Needs API 29+ testing."
"F006","Onboarding","Battery optimization prompt","As a user I want the app to explain battery optimization tradeoffs and let me disable or skip it so background mesh is reliable.","BatteryOptimizationScreen appears for existing users when optimization is enabled and not skipped; disable, retry, and skip paths are wired. First-time launch skips this check until after permissions.","MainActivity.kt; BatteryOptimizationManager.kt; BatteryOptimizationScreen.kt; BatteryOptimizationPreferenceManager.kt","Documented","Static code inspection","None found in static inspection.","Not needed","Not run","Requires vendor/device behavior testing."
"F007","Onboarding","Initialization and retry error screen","As a user I want failed startup to show a recoverable error with retry and settings actions.","Initialization verifies permissions, starts unified mesh services, handles notification/verification intents, and updates MainViewModel to COMPLETE. Failures update error state and show InitializationErrorScreen with retry and app settings actions; error strings are resource-backed.","MainActivity.kt; InitializingScreen.kt; InitializationErrorScreen.kt; strings.xml","Documented","Static code inspection","None found in static inspection.","Not needed","Not run","Can be unit tested with state transitions."
"F008","Lifecycle","Resume checks for disabled services","As a returning user I want the app to notice if Bluetooth or location was disabled in the background so messaging does not silently fail.","onResume reattaches the mesh delegate when onboarding is complete, rechecks Bluetooth and location, routes back to the relevant check screen if disabled, and starts Wi-Fi Aware when location is enabled.","MainActivity.kt","Documented","Static code inspection","None found in static inspection.","Not needed","Not run","Needs lifecycle instrumentation."
"F009","Background service","Foreground mesh service notification","As a user I want the mesh to keep running in the background with a persistent notification showing peer count.","MeshForegroundService.start only launches when background mode, Bluetooth/location, and notification permission gates allow it; onStartCommand creates or reuses mesh services, starts Wi-Fi Aware/BLE as eligible, promotes to foreground, updates peer count every 5 seconds, and clears the notification when eligibility is lost.","MeshForegroundService.kt; MeshServicePreferences.kt","Documented","Static code inspection","None found in static inspection.","Not needed","Not run","Requires Android foreground service validation."
"F010","Background service","Quit from foreground notification","As a user I want a notification action to fully quit bitchat so background network activity stops.","Notification action sends ACTION_QUIT; service cancels update work, stops foreground state, clears notification, stops mesh and Tor best-effort through AppShutdownCoordinator, clears AppStateStore, broadcasts UI force-finish, and kills the process after shutdown timeout.","MeshForegroundService.kt; AppShutdownCoordinator.kt; MainActivity.kt","Documented","Static code inspection","None found in static inspection.","Not needed","Not run","Needs notification interaction test."
"F011","Background service","Boot restart receiver","As a user who enabled background operation I want the app to resume mesh after reboot when permissions allow.","AndroidManifest declares RECEIVE_BOOT_COMPLETED and registers BootCompletedReceiver for BOOT_COMPLETED and LOCKED_BOOT_COMPLETED. BootCompletedReceiver initializes MeshServicePreferences and starts MeshForegroundService only when auto-start is enabled.","BootCompletedReceiver.kt; AndroidManifest.xml; MeshForegroundService.kt","Documented","Static code inspection","None found in static inspection.","Not needed","Not run","Runtime reboot behavior still needs device/instrumented verification."
"F012","Chat","Nickname generation, edit, and persistence","As a user I want a nickname assigned automatically and editable from the header so peers see a human-readable name.","DataManager loads saved nickname or creates anon####; NicknameEditor edits header text; ChatViewModel.setNickname updates state, persists the value, and sends a broadcast announce.","DataManager.kt; ChatHeader.kt; ChatViewModel.kt","Documented","Static code inspection","None found in static inspection.","Not needed","Not run","Unit and UI test candidates."
"F013","Chat","Public mesh message send","As a user I want to type and send a public mesh message so nearby peers can receive it.","Chat input sends trimmed non-empty text; ChatViewModel routes commands first, then sends private, geohash, channel, encrypted-channel, or public mesh messages; public mesh sends are locally added through MessageManager/AppStateStore before mesh send.","ChatScreen.kt; InputComponents.kt; ChatViewModel.kt; MessageManager.kt; AppStateStore.kt","Documented","Static code inspection","None found in static inspection.","Not needed","Not run","Needs fake MeshService unit test."
"F014","Chat","Public mesh message receive","As a user I want incoming mesh messages to appear once in the timeline with sender metadata.","Bluetooth and Wi-Fi Aware receive paths add non-channel messages to AppStateStore with id/content de-duplication; ChatViewModel collects publicMessages into ChatState; MeshDelegateHandler separately deduplicates callback handling for notifications and blocked-sender checks.","BluetoothMeshService.kt; WifiAwareMeshService.kt; MeshDelegateHandler.kt; AppStateStore.kt; ChatViewModel.kt","Documented","Static code inspection","None found in static inspection.","Not needed","Not run","Needs protocol/handler tests."
"F015","Chat","Message rendering","As a user I want text, media, sender, timestamp, mentions, channels, and status rendered consistently in chat.","ChatScreen selects the active public, classic channel, or geohash timeline; MessagesList reverse-renders latest messages; MessageItem delegates image/audio/file rendering, formats text with sender/timestamp/mentions/geohash/URL annotations, and overlays delivery status for own private messages.","ChatScreen.kt; MessageComponents.kt; ChatUIUtils.kt; MessageSpecialParser.kt","Documented","Static code inspection","None found in static inspection.","Not needed","Not run","Needs Compose screenshot checks."
"F016","Chat","Scroll to bottom","As a user reading older messages I want a visible control to jump back to the newest message.","MessagesList tracks whether the reverse-layout list is near index 0, reports scrolled-up state, follows incoming messages only while at latest, and ChatScreen shows an ArrowDownward IconButton that toggles forced scroll to item 0.","ChatScreen.kt; MessageComponents.kt","Documented","Static code inspection","None found in static inspection.","Not needed","Not run","Needs UI test."
"F017","Chat","Tap sender to mention","As a user I want tapping a sender nickname to insert an @mention into the input.","Message text/header add nickname_click annotations for non-self senders; ChatScreen inserts @nickname with spacing and preserves geohash hash suffixes when the selected location channel is active.","ChatScreen.kt; MessageComponents.kt; ChatUIUtils.kt","Documented","Static code inspection","None found in static inspection.","Not needed","Not run","Needs UI test."
"F018","Chat","Long press message actions","As a user I want long-pressing a message to open actions for the message and user.","Message text and media/header long-press callbacks pass the selected BitchatMessage to ChatScreen; ChatScreen stores the base sender and selected message, then presents ChatUserSheet with copy, private message, slap, hug, and block actions as applicable.","ChatScreen.kt; MessageComponents.kt; ChatUserSheet.kt","Documented","Static code inspection","None found in static inspection.","Not needed","Not run","Needs UI test."
"F019","Chat","Message action sheet copy","As a user I want to copy message text from the action sheet.","ChatUserSheet shows Copy Message when selectedMessage exists and writes selectedMessage.content to LocalClipboardManager before dismissing.","ChatUserSheet.kt","Documented","Static code inspection","None found in static inspection.","Not needed","Not run","Needs clipboard instrumentation; media/file messages may copy their content/path representation rather than a human-friendly summary."
"F020","Chat","Panic triple-tap data wipe","As a user in an emergency I want triple-tapping the app title to clear messages, keys, settings, media, notifications, and restart identity.","MainHeader wires the app brand to singleOrTripleClickable; triple-click calls panicClearAllData, which clears message/channel/private chat/data managers, seen message store, mesh data, cryptographic data, notifications, media, geohash/bookmark state, resets nickname, recreates MeshServiceHolder services, restarts mesh, and broadcasts announce.","ChatHeader.kt; ChatViewModel.kt; FileUtils.kt; MeshServiceHolder.kt","Documented","Static code inspection","None found in static inspection.","Not needed","Not run","High-risk; requires dedicated device/instrumented test plan."
"F021","Settings","About sheet","As a user I want app identity, version, feature summaries, and settings in one sheet.","Tapping the app title opens AboutSheet; it reads app version, renders identity/tagline, feature rows, theme/background/PoW/Tor controls, emergency warning, optional debug settings link, footer, and close action. Several hardcoded AboutSheet setting/status labels were moved to string resources during inspection.","ChatHeader.kt; ChatScreen.kt; AboutSheet.kt; strings.xml","Documented","Static code inspection","Localized several hardcoded AboutSheet labels/status strings found during static inspection.","Fixed pending verification","Not run","Needs UI screenshot and localization smoke test."
"F022","Settings","Theme selection","As a user I want system, light, or dark theme selection persisted across launches.","AboutSheet theme chips collect ThemePreferenceManager.themeFlow and write System, Light, or Dark to SharedPreferences; BitchatApplication initializes the manager and BitchatTheme consumes the flow to choose system, light, or dark Material color schemes.","AboutSheet.kt; ThemePreference.kt; Theme.kt; BitchatApplication.kt","Documented","Static code inspection","None found in static inspection.","Not needed","Not run","Needs settings persistence test."
"F023","Settings","Background mode toggle","As a user I want to enable or disable background mesh operation from settings.","AboutSheet background toggle mirrors MeshServicePreferences.isBackgroundEnabled, persists changes, stops MeshForegroundService when disabled, and starts it when re-enabled. MeshForegroundService still gates foreground start on Bluetooth/location and notification permissions.","AboutSheet.kt; MeshServicePreferences.kt; MeshForegroundService.kt","Documented","Static code inspection","None found in static inspection.","Not needed","Not run","Needs service lifecycle test."
"F024","Settings","Tor toggle and status","As a user I want to route internet traffic over Tor when available and see bootstrap status.","AboutSheet disables the Tor toggle when ArtiTorManager reports unavailable, persists ON/OFF through TorPreferenceManager when available, shows status color and bootstrap/log detail while ON, and ChatHeader shows a compact Tor status dot when mode is not OFF.","AboutSheet.kt; ChatHeader.kt; ArtiTorManager.kt; TorPreferenceManager.kt","Documented","Static code inspection","Localized hardcoded AboutSheet Tor title and connected/disconnected status labels during static inspection.","Fixed pending verification","Not run","Requires native library/runtime validation."
"F025","Settings","Geohash proof-of-work toggle and difficulty","As a user I want optional PoW for geohash messages to reduce spam.","AboutSheet initializes PoWPreferenceManager, toggles enabled state, shows a 0-32 difficulty slider, and displays mining estimate; GeohashViewModel marks local geohash messages with configured difficulty, NostrProtocol mines events before signing when enabled, and NostrClient/GeohashMessageHandler reject insufficient-PoW incoming events.","AboutSheet.kt; PoWPreferenceManager.kt; PoWStatusIndicator.kt; GeohashViewModel.kt; NostrProtocol.kt; NostrClient.kt; GeohashMessageHandler.kt; NostrProofOfWork.kt","Documented","Static code inspection","Localized hardcoded AboutSheet PoW section/value labels during static inspection.","Fixed pending verification","Not run","Needs Nostr event unit tests."
"F026","Debug","Debug settings sheet","As a developer/user I want diagnostics for logging, BLE roles, transports, packet relay, sync, devices, scans, and console output.","AboutSheet opens DebugSettingsSheet through onShowDebug; DebugSettingsSheet collects DebugSettingsManager flows for verbose logging, BLE/GATT toggles and limits, Wi-Fi Aware toggles/support, packet relay stats/graphs, sync settings, connected device actions, and console messages; DebugPreferenceManager persists preference-backed toggles.","AboutSheet.kt; DebugSettingsSheet.kt; DebugSettingsManager.kt; DebugPreferenceManager.kt","Documented","Static code inspection","None found in this static inspection; broader localization/debug copy caveat remains in F089.","Not needed","Not run","Large UI surface; needs focused smoke tests."
"F027","Peer list","Peer counter and network sheet","As a user I want a compact network count and a detailed sheet of peers, channels, and network state.","Header PeerCounter displays mesh connected peer count or geohash participant count plus joined channel count; tapping it calls onSidebarClick and opens MeshPeerListSheet, which lists joined channels, mesh peers, offline favorites, unread DM indicators, transport/status icons, verification state, and geohash people when in a location channel.","ChatHeader.kt; MeshPeerListSheet.kt; GeohashPeopleList.kt","Documented","Static code inspection","None found in static inspection.","Not needed","Not run","Needs Compose UI test."
"F028","Peer list","Mesh peer list private chat launch","As a user I want to tap a peer and open a private chat sheet.","MeshPeerListSheet peer rows call onPrivateChatStart, which sets privateChatSheetPeer and dismisses the network sheet; ChatScreen renders PrivateChatSheet, and PrivateChatSheet starts the private chat in LaunchedEffect(peerID), initializing state, clearing unread markers, and starting Noise handshake if needed.","MeshPeerListSheet.kt; ChatScreen.kt; ChatViewModel.kt; PrivateChatManager.kt","Documented","Static code inspection","None found in static inspection.","Not needed","Not run","Needs fake peer state test."
"F029","Private chat","Private message send","As a user I want to send direct encrypted messages to a peer.","PrivateChatManager starts chats only when not blocked, initiates or prompts Noise session setup, creates a local private BitchatMessage with Sending status, stores it in the peer conversation/AppStateStore, and ChatViewModel routes send through MessageRouter, which sends over ready mesh, sends over Nostr for mapped mutual favorites/geohash aliases, queues otherwise, and initiates handshake when mesh-connected but not ready.","PrivateChatManager.kt; ChatViewModel.kt; MessageRouter.kt; MeshService.kt; AppStateStore.kt","Documented","Static code inspection","None found in static inspection.","Not needed","Not run","Needs fake MeshService and router test."
"F030","Private chat","Private message receive and unread state","As a user I want incoming DMs to appear in the peer conversation and mark unread until viewed.","Mesh-origin private messages are stored by transport/AppStateStore and collected into ChatState; PrivateChatManager initializes the conversation, blocks blocked senders, adds Nostr-origin messages directly, marks conversations unread when not focused, sends read receipts and clears unread on focus, and ChatViewModel persists read IDs in SeenMessageStore so recreation does not re-mark read messages unread.","PrivateChatManager.kt; ChatViewModel.kt; SeenMessageStore.kt; AppStateStore.kt; MeshDelegateHandler.kt","Documented","Static code inspection","None found in static inspection.","Not needed","Not run","Needs state persistence test."
"F031","Private chat","Read receipts and delivery status","As a user I want private messages to show sending, sent, delivered, failed, and read states.","PrivateChatManager creates outgoing private messages with Sending status, now marks them Sent after the router callback accepts the send and Failed if that callback throws; MessageManager applies priority-based status updates and syncs AppStateStore; MeshDelegateHandler maps delivery acks to Delivered and read receipts to Read; MessageComponents renders all DeliveryStatus variants.","PrivateChatManager.kt; MessageManager.kt; MeshDelegateHandler.kt; MessageComponents.kt; BitchatMessage.kt; AppStateStore.kt","Documented","Static code inspection","Static inspection found private text messages had no normal Sent/Failed transition. Added Sent/Failed updates around the send callback.","Fixed pending verification","Not run","Needs user-story validation and router failure test."
"F032","Peer management","Favorites","As a user I want to favorite peers and persist that relationship across sessions.","MeshPeerListSheet and PrivateChatSheet star buttons call ChatViewModel.toggleFavorite; PrivateChatManager toggles the local fingerprint set, DataManager persists it in SharedPreferences, ChatViewModel updates FavoritesPersistenceService relationship state from Noise keys, and MessageRouter sends favorite/unfavorite notifications via mesh or Nostr when possible.","MeshPeerListSheet.kt; ChatViewModel.kt; PrivateChatManager.kt; DataManager.kt; FavoritesPersistenceService.kt; MessageRouter.kt","Documented","Static code inspection","None found in static inspection.","Not needed","Not run","Needs persistence tests."
"F033","Peer management","Block and unblock mesh peers","As a user I want to block abusive mesh peers and later unblock them.","CommandProcessor exposes /block to list blocked fingerprints or block a nickname and /unblock <nickname>; PrivateChatManager resolves nicknames to peer IDs, stores blocked fingerprints in DataManager, prevents starting/sending private chats with blocked peers, filters incoming blocked sender messages, and emits system messages for block/unblock results.","CommandProcessor.kt; PrivateChatManager.kt; DataManager.kt; MeshDelegateHandler.kt","Documented","Static code inspection","None found in static inspection; user-facing command result strings remain partly hardcoded and tracked in F089.","Not needed","Not run","Needs fake peers test."
"F034","Security","Noise session icon/status","As a user I want to see private chat encryption session state before trusting the conversation.","NoiseSessionIcon maps uninitialized, handshaking, established, and failed states to resource-backed content descriptions, icons, and colors; ChatViewModel keeps peerSessionStates updated from mesh sessions; PrivateChatSheet and SecurityVerificationSheet display session/verification state and allow starting a handshake for eligible peers.","ChatHeader.kt; MeshPeerListSheet.kt; SecurityVerificationSheet.kt; ChatViewModel.kt","Documented","Static code inspection","None found in static inspection.","Not needed","Not run","Needs UI and state tests."
"F035","Security","Fingerprint security sheet","As a user I want to compare fingerprints and mark a peer verified.","SecurityVerificationSheet displays peer and own fingerprints, session/verified status, long-press copy menu, start-handshake action when no fingerprint is available for a 16-hex peer, mark verified action, and remove verification action; VerificationHandler persists verified fingerprints through SecureIdentityStateManager.","SecurityVerificationSheet.kt; VerificationHandler.kt; VerificationService.kt; SecureIdentityStateManager.kt","Documented","Static code inspection","None found in static inspection.","Not needed","Not run","Needs clipboard/storage tests."
"F036","Security","QR verification","As a user I want to show my QR, scan another QR, paste a verification URL, and complete mutual verification.","VerificationSheet builds a signed QR URL from VerificationService, renders it as a QR code, scans camera frames with CameraX/ML Kit, now accepts pasted verification URLs with validation feedback, and calls beginQRVerification. VerificationHandler matches the scanned Noise key to connected peers, initiates Noise if needed, sends challenge/response over established sessions, verifies signed responses, persists verified fingerprints, emits system messages/notifications, and MainActivity handles bitchat://verify deep links.","VerificationSheet.kt; VerificationHandler.kt; VerificationService.kt; MainActivity.kt; BluetoothMeshService.kt; MeshCore.kt","Documented","Static code inspection","Static inspection found the pasted verification URL path was advertised but missing from VerificationSheet. Added paste field, validate action, and invalid URL feedback; tab labels moved to resources.","Fixed pending verification","Not run","Requires camera/permission/deep-link test."
"F037","Notifications","Private message notifications","As a user I want background DMs to notify me and open the relevant private chat.","NotificationManager shows private notifications when the app is backgrounded or not focused on that sender, groups by sender, includes EXTRA_OPEN_PRIVATE_CHAT and peer extras, and updates summaries. MainActivity handles the extra by showing the peer list/private chat sheet and clearing notifications for that sender; ChatViewModel also clears sender notifications when a private chat starts.","NotificationManager.kt; MainActivity.kt; ChatViewModel.kt","Documented","Static code inspection","None found in static inspection.","Not needed","Not run","Needs notification instrumentation."
"F038","Notifications","Geohash chat notifications","As a user I want geohash messages and mentions to notify me and return to that location channel.","NotificationManager shows geohash notifications when the app is backgrounded or not focused on that geohash, prioritizes mentions, groups by geohash, includes EXTRA_OPEN_GEOHASH_CHAT, and updates summaries. MainActivity maps geohash length to a channel level, selects the Location channel, updates current notification geohash, and clears that geohash notification; GeohashViewModel clears notifications when switching location channels.","NotificationManager.kt; MainActivity.kt; GeohashViewModel.kt","Documented","Static code inspection","None found in static inspection.","Not needed","Not run","Needs notification instrumentation."
"F039","Notifications","Mesh mention notifications","As a user I want mentions in mesh chat to surface when I am away from the timeline.","MeshDelegateHandler checks public mesh message content for @currentNickname mentions; NotificationManager shows grouped mesh mention notifications when app is backgrounded or user is not viewing mesh, and ChatViewModel/GeohashViewModel clear mesh mention notifications when returning to mesh context.","MeshDelegateHandler.kt; NotificationManager.kt; ChatViewModel.kt; GeohashViewModel.kt","Documented","Static code inspection","None found in static inspection.","Not needed","Not run","Needs mention parsing validation."
"F040","Notifications","Nearby active peer notification","As a user I want to know when people are nearby if the app is in the background.","MeshDelegateHandler calls NotificationManager.showActiveUserNotification on peer-list updates; NotificationManager only notifies in background, only for newly seen peers, and only after ACTIVE_PEERS_NOTIFICATION_INTERVAL_MS has elapsed, using resource-backed one/many count text and opening the app on tap.","MeshDelegateHandler.kt; NotificationManager.kt; NotificationIntervalManager.kt; strings.xml","Documented","Static code inspection","None found in static inspection.","Not needed","Not run","Needs notification instrumentation and interval validation."
"F041","Media","Image picker and image send","As a user I want to attach an image, have it compressed, locally echoed, transferred, and shown in the chat.","ImagePickerButton opens the system image picker on tap and camera capture on long-press with CAMERA permission, downscales selected/captured images into app files, and calls sendImageNote; MediaSendingManager wraps the image as a BitchatFilePacket, adds a local Image message, seeds transfer progress, sends through mesh file APIs, and MessageComponents/ImageMessageItem render the image with progress/cancel support.","ImagePickerButton.kt; ImageUtils.kt; InputComponents.kt; MediaSendingManager.kt; MessageComponents.kt; ImageMessageItem.kt","Documented","Static code inspection","None found in static inspection.","Not needed","Not run","Needs UI, camera, and file-system tests."
"F042","Media","Voice note recording and send","As a user I want to hold the microphone, see live waveform/timer, release to send, and keep keyboard state stable.","MessageInput keeps the text field mounted and overlays RealtimeScrollingWaveform/timer during recording; VoiceRecordButton requests RECORD_AUDIO on use, records while pressed, polls amplitude every 80ms, auto-stops at 10 seconds, adds a short release tail, extracts/caches waveform data, and MediaSendingManager sends the audio packet as Audio media.","InputComponents.kt; VoiceInputComponents.kt; VoiceRecorder.kt; Waveform.kt; MediaSendingManager.kt","Documented","Static code inspection","None found in static inspection.","Not needed","Not run","Requires RECORD_AUDIO permission/device."
"F043","Media","Voice playback and waveform seeking","As a user I want to play/pause received voice notes and tap the waveform to seek.","AudioMessageItem delegates audio messages to VoiceNotePlayer; VoiceNotePlayer prepares MediaPlayer asynchronously, play/pause toggles playback when prepared, updates progress every 100ms, releases the player on dispose, and passes seek callbacks to WaveformPreview; WaveformViews loads/caches waveform samples and maps tap x-position to a clamped playback fraction.","AudioMessageItem.kt; VoiceNotePlayer.kt; WaveformViews.kt; MessageComponents.kt","Documented","Static code inspection","None found in static inspection.","Not needed","Not run","Needs media playback test."
"F044","Media","Image fullscreen viewer and save","As a user I want to tap images, browse image messages full-screen, close, and save to Downloads.","ChatScreen collects image paths from the current timeline and opens FullScreenImageViewer at the tapped image; the viewer uses HorizontalPager, renders unavailable placeholders, shows an image counter, closes via button/dismiss, and saves the current image to MediaStore Downloads with success/failure toasts.","ChatScreen.kt; FullScreenImageViewer.kt; ImageMessageItem.kt","Documented","Static code inspection","None found in static inspection.","Not needed","Not run","Needs storage/media permission behavior test."
